Label,Text
Extremism,তোরা ডান্ডি মাঘীরচুদারা মুসলিম দেশ বাংলাদেশে বড় বাড়া বাড়ছোস
Extremism,তোরা ডান্ডি নাপাক জাতদের পুটকি মেরে তোদের দাদারবাড়ি দিল্লিতে দূর করব
Extremism,মসজিদে গিয়ে আগুন লাগাও
Extremism,হিন্দুদের ঘৃণা করো
Extremism,হিন্দু ধর্মের কোনো ধর্ম নাই এটি পালটু টাইম পাস
Extremism,দরকার হলে জিহাদ করব। তবু হিন্দুদের চারব না।
Extremism,হিন্দু ধর্ম পুরাটাই ভন্দামি।
Extremism,"হিন্দু বাচ্চা ডোম , মুচির ধর্ম"
Extremism,হিন্দু কোনো ধর্ম নেই
Extremism,"হিন্দুদের আর কয়েকটি নাম হলো মালায়ন,নেংটি,কাডুয়া"
Extremism,হিন্দু ধর্ম পাগল
Extremism,হিদু মানি ভেজাল
Extremism,তোমাদের মত আলগা মোল্লা টাইপের শয়তানের জন্য সমাজ নষ্ট হয়
Extremism,বাংলাদেশে মুস্লিম রা হিন্দুদেত অত্যাচার করে
Extremism,বাংলাদেশ মুসলমানদের মানুষিকতা কতটা নিচু
Extremism,হিন্দু ধম নেংটা ধম
Extremism,বালের হিন্দু
Extremism,"জিকির না গান না উচ্চাঙ্গসংগীত বুঝতে পারলামনা, হয়তো বা শয়তান বুঝবে"
Extremism,তেমনি ধর্মান্ধ মুসলিমের কাছে উটমুত্র পবিত্র।
Extremism,এরা নাম দ্বারি টাইটেল প্রাপ্ত জানোয়ার
Extremism,মুর্তি পুজা কবর পুজা রাতের ভোটসব মিলিয়ে দেশ আজ জাহান্নাম
Extremism,আর ৭১ জামায়াতে ইসলামের আলবদর আলশামস শান্তিকমিটি হানাদার বাহিনীর কারনে ২ লাখ ধর্ষনের কারনে জামায়াত ইসলাম এখনও দৌড়ের উপর।
Extremism,লজ্জিত হওয়া উচিত ধর্মের ফতোয়ায় আলবদর আলশামস শান্তিকমিটি গঠন করে মুক্তিকামী বাঙালির হত্যা ধর্ষনে হানাদার বাহিনীকে সহায়তার জন্য্য
Extremism,মসজিদ যতদিন বন্ধ থাকবে ততই বাড়তে থাকবে করোনা ভাইরাস আক্রান্ত
Extremism,"হিন্দুয়া,,,,, তোর স্থান হলো রেন্ডিয়া"
Extremism,জঙ্গিরা ইসলামের অপ ব্যাখ্যা করে আজ সারা দুনিয়ায় ইসলামকে বিরর্কিত করেছে
Extremism,জাকির নায়েক হীন্দুদের গোয়েন্দা সংস্থা'র'এর এজেন্ট হ‌ওয়ার কারনে ভারতের মত দেশে এতদিন সে প্রকাশ্যে ইসলাম প্রচার করতে পেরেছিল
Extremism,ছিঃ এটা কি কোন ধর্ম হতে পারে?
Extremism,"কেমন ভগবান রে, অরে অর শশুর অপমান করে"
Extremism,সয়তানি ধর্ম হিন্দু সম্প্রদায়ের
Extremism,"মন্দিরের ভন্ডামি ভিতরে কাউকে ছবি তুলতে দেয় না হালারা, নিজেরাই লাল রঙ ডাইলা মায়ের মাসিক বানায়"
Extremism,উগ্র হিন্দুত্ববাদীরা ইসলামের বিরুদ্ধে নানা রকম মিথ্যা অপপ্রচারের অনলাইন গরম করে থাকে
Extremism,হিন্দু ধর্মের গ্রন্থে অনেক অবজ্ঞানিগ কথা আছে জা দারা প্রমাণিত হয়েছে জে হিন্দু ধর্ম মানব রচিত ধর্ম
Extremism,কোন খানকির ছেলে বলতে পারবেনা মুসলিমদের পুর্বপুরুস হিন্দু ছিল
Extremism,"জঙ্গীবাদী,, মানুষ খুনের ধর্ম ইসলাম"
Extremism, দেবতা লুইচ্চা কৃষ্ণ
Extremism,"আবেদনময়ী নারীর উচিত ব্রাহ্মণের সকল মনঃকামনা পূর্ণ করা, এই পন্থাতেই ঘরে আগত (যৌনতৃপ্তি লাভের নিমিত্তে) যেকোনো ব্রাহ্মণকে সম্মান দেখানো উচিত আর এতে সম্ভ্রান্ত নারী এমনকি বেশ্যাদের জন্যও কোন পাপ নেই"
Extremism,"হিন্দুদের দ্বারা এতো ধর্ষণ এতো ব্যাভিচারের ঘটনা ঘটে,যার জন্য পৃথিবীর ধর্ষনের শীর্ষ তালিকা দেশগুলোর মধ্যে ভারতের নাম রয়েছে"
Extremism,জংগী হলো হিন্দুরা
Extremism,বড় জংগী ছিলো নবী এই জন্য তোর ধর্ম জংগীর ধর্ম ।শয়তানের ধর্ম
Extremism,"তোর হিন্দু ধর্মে গরুর মুত ও গোবর খাওয়ার নির্দেশ আছে, তাই লুচ্চা কৃষ্ণ আর রাধা খানকি খেত।"
Extremism,সীতা খানকি কে লেংটা করে বেজন্মা রামচন্দ্রের সামনে চুদেছিলো সে
Extremism,তোরা হিন্দুরা ছাগলের মুত খাস? নুনুকাটা হিজড়া শিব আর পার্বতী খানকি ছাগলের মুত খেত?
Extremism,"হিন্দু ধর্মের অারেক নাম ""চটি"" ধর্ম।যার ইতিহাসের পরতে পরতে অবাধ যৌনতা ও অশ্লীলতা মিলে মিশে একাকার"
Extremism,হিন্দু ধর্ম হচ্ছে একটা সারালের ধর্ম ওয়াক থু থু থু
Extremism,তুই নিজে নংরা তোর ধর্ম নংরামী তে ভরা তোদের নবী মহম্মদ মেয়েদের গুদে ফু দিয়ে বেড়াত  তোদের নবী নিজের ছেলের বৌ কে চুদেছিল
Extremism,জঙ্গি বাদি ইসলাম
Extremism,নোংরা হিন্দুরা ধর্মের নামে এসব নোংরামিই ভালোবাসে এবং মজা পায়
Extremism,ধর্মের নামে এসব নোংরা কাহিনি  মন্দিরের ভন্ড গুরুদের আবিস্কার।।
Extremism,কত হিংস্র আপনারা আল্লাহর ঘর বাবরী মসজিদ ভেঙ্গে সেখানে বানাবেন ইবলিশের ঘর
Extremism,শীবলিঙ্গ আর যোনি পূজা এই অশ্লীল কাজ ইতো আপনাদের ধর্ম
Extremism,সুবিধাবাদী আর লুচ্ছা হিন্দুরা নাস্তিক হিন্দুরা গুরুরা এতেই মজা পায় আর সমাজে এর বিস্তার ঘটাচ্ছে
Extremism,"এই হিন্দুরা বেইমানের জাতরা আরব দেশ গুলোতে ভিক্ষা করে খায়, আর মুসলমানদের তাড়ানোর জন্য দেশে দাঙ্গা বাধায়"
Extremism,মূর্তি পূজকরা হল বিশ্বের সবচেয়ে ভয়ংকর অহংকারী আর হিংস্র জাতি যাদের বন্দু হল অভীশপ্ত ইহুদিরা।
Extremism,আপনারা প্রকৃত মালিক আল্লাহ্ কে বাদ ইবলিশকেই আপনাদের ভগবান বানিয়েছেন
Extremism,তুদের ইসলাম ধর্মে এই অনুমতি আছে।তোদেরকে অমানুষ বানাবার জন্য।
Extremism,ধর্ষণ করা আপনাদের হিন্দু ধর্মে বৈধ
Extremism,আপনাদের হুজুর রা খালি মানুষ খুন করতে বলে কেনো?
Extremism,দুনিয়ার সব কুসংস্কার ও নষ্টামী। ছিঃ! ছিঃ! তোদের হিন্দু ধর্মে
Extremism,তোরা ধন কাটা মূসলমান হিন্দু ধর্মের কি জানিস। জদিও তোদের বাপ ঠাকুরদা হিন্দু ছিল
Extremism,"কোন উৎকৃষ্টতার নজির মুসলমান ধর্মে আছে?যে ধর্মের শুরু হয় ছেলেদের লিঙ্গের অগ্রভাগ এবং মেয়েদের যোনির অগ্রভাগ ছেদনের মধ্য দিয়ে, যে ধর্মে ঘরের বাইরে বেরোতে গেলে মেয়েদের বস্তা মুড়ি দিতে হয়"
Extremism,"এই নিকৃষ্ট কুকুরের বাচ্চা মালাউন, গালি দিলি কেন??? তোরা নিকৃষ্ট জাতি, লিঙ্গ পুজা, কুকুরের সাথে মানুষের বিয়ে দিস, এটা কোনো ধর্ম হল??"
Extremism,"এমন কুসংস্কারাচ্ছন্ন অশ্লীল ধর্মের ঘরে জন্ম না নিয়ে মুসলমানের ঘরে জন্ম নিয়েছি,তাই আল্লাহর নিকট শুকরিয়া"
Extremism,আপনি কি নিজের ধর্ম বোঝেন?আবার আসছেন হিন্দু ধর্ম নিয়ে কথা বলতে?
Extremism,হিন্দু সালারা মালাউনদের বাচ্চা রা সব চেয়ে বেশি নিক্রিস্ট ধর্ম হলো হিন্দু ধর্ম তোরা ইসলাম পবিত্র ধর্মর ব্যাপারে কি আর বুজবি
Extremism,ওদের কমেন্টস দেখলেই মনে হয় পৃথিবীর মধ্যে সবচেয়ে নিকৃষ্ট বাংলাদেশি মুসলমান
Extremism,"হিন্দুদের যোনী পূজা, আর সৌদির কালো যোনী পাথর চুম্মা দেওয়া একই।"
Extremism,"এই সব ভর টর বলে কিছু হয় না,মানুষ যাতে এদের একটু ভয় করে সম্মান করে তাই এইসব করা।। আর কিছু লোক করে টাকা পয়সার জন্য।।মা সারদা দেবী, রামকৃষ্ণ, বামদেব এদের চেয়ে মা কালীর ভক্ত কেও ছিলো না আর কেও হবেও না।।কোনো দিন কেও শুনেছেন ওনাদের ভর উঠতো।।দু ঘা দিলেই ভর কেটে যাবে"
Extremism,মানুষ এতো বোকা হয় কিভাবে আফসোস তারা জানে না এটা কোন ধর্ম হতে পারে না এটা শয়তান এরই প্রতিকৃতি। আমার চোখের সামনে মনে হচ্ছে এই মহিলার ভিতরে শয়তান ডুকে গেছে।
Extremism,বদমাইস।আমি আমার নিজের হেতে একটা মাটির পুতুল বানালাম। এই পুতুলে সৃষ্টিকর্তা আমি। এই মাটিত পুতুল আমার রব হয় কিভাবে।
Extremism,মূর্খ জাত!! ইসলাম ছাড়া কোন ধর্ম পৃথীবিতে নাই!! বাকিগুলা মানুষের তৈরি ধর্ম!!
Extremism,আমি যানতে চাই কালীর চেহারাটা এত ভয়ঙ্করী কেন - যাকে আপনারা পূজা করেন তা দেখে ভয় পাওয়ার কারন হবে কেন
Extremism,এই বেডি মন্দিরে আসার আগে কাঞ্চনা মুভি দেখে আসছে
Extremism,তোরা নিজেরা মূর্তি বানায় তাকে সে দানিশ তাকে প্রবন মানুষ তাকে সকল ক্ষমতার উৎস বস মানিশ এটা পাগলামি ছাড়া আর কিছুই না।
Extremism,"হায়রে মানুষ শ্রেষ্ঠ জীব হয়েও মুর্তির কাছে মাথা নত করে। মুর্তি কখনো নড়বেও না, বিশ্বাস না হলে মুর্তির গায়ে একটা তেলাপোকা ছেড়ে দেখ"
Extremism,"সব পাগল পুগলের কারখানা হিন্দুদের মাঝে, ১ হাত জিববা বের করে আছে দেকলেই তো ভয় লাগে। জাকে দেকলে ভয় লাগে সে কখনো মানুষের কল্যানে আসতে পারে আমি বিশ্বাস করি না। সবি নাটক আর কিছু না।"
Extremism,পাগলামি ছারা কিছুই দেখি নানিজের হাতের তৈরী জিনিসটার সামনে এরকম ফাইজলামি করার কি দরকার আমি যাকে সৃষ্টি করবো সে আমার কাছে মাথা নত করবে আমি কেন তার কাছে মাথা নত করবো। হায়রে অন্ধ বিশ্বাস
Extremism,"ভাইরে ওদের ধর্মের ইতিহাস পড়লে এরকমই সব দেমাগে ভেসে ওঠে,সঠিকভাবে সবাই যদি পড়তো তাহলে সব কিছুই সবাই জানতো,এই ভিডিওর মতো,এই ভিডিও তে এমন কিছুই আমি দেখছিনা যা,ওদের ধর্মে রয়েছে এর থেকে জগন্য অনেক কিছুই রয়েছে,সব গুলা যদি ভিডিও আকারে বের হয়,তবে যে মানুষ যা ভাববেএটা আমি লিখতেও পারছিনা"
Extremism,যেমন ধর্ম তেমন কর্ম যত্তসব পাগল কারখানা
Extremism,এগুলো কোন ধর্মীয় কৃষ্টি-কালচারের পড়ে না আসলে সনাতন ধর্ম একটি শয়তানের উপাসনা করে
Extremism,সম্পূর্ন ভুয়া আর ভন্ডামি এগুলো সব ধর্মে আছে এরা আসলে কি ভাবে লোক সমাজে মুখ দেখায় বুঝি না।।।
Extremism,কিরে বাঁড়া কিছু বুঝলাম না ভগবান কে ভালোবাসো ঠিক আছে ন্যাকামো করার কি আছে যতসব পাগল ছাগলের উৎপাত ওই মহিলার কান্ড দেখে ভগবান মনে হয় ভয় পেয়ে গিয়েছিলো
Extremism,ওর ভোদায় সাথে সাথে বাশ ঢোকালে ঠিক হয়ে যেত কারন বাশ তো ওর ঢুকথ না ঢুকতো কালির ভোদায় আর কালি ওকে ছেরে চলে যেত ও ঠিক হয়ে যেত 100%
Extremism,মহিলার কান্ড দেখে আপনাদের মা কালী নিজেই ভয় পাইছে
Extremism,"আমি মনে করছি, এই মহিলা কি তার ভগবান কে ভয় দেখালেন নাকি, মহিলা কি বুঝে গিয়েছে নাকি মূরতি তো মূর্তি এতে কি আবার জীবন আছে নাকি, যতসব পাগলের মেলা, সময় হারিয়ে বুজবে, অকারণে তুলসির মুলে জল ঢালিলাম। তার দেখা না পাইলাম, পাগল"
Extremism,"কি আজব ব্যাপার, নিজের হাতে বানানো একটা মাটির পুতুলের সামনে মাথা নত করে কি লাভ,ও তো নিজের গায়ে বসা মাছি টা তারানোর খমতা নাই, আপনাদের কি উপকার করবে???"
Extremism,এগুলো আপনাদের পাগলামি ছারা কিছুই নয়একটা জিনিস লক্ষ করুন আপনি যাকে নিজের হাতে বানাচ্ছেন তার কাছে আপনি কেন প্রনাম করছেন? আপনি তার সৃষ্টি কর্তা নাকি সে আপনার সৃষ্টি কর্তা।
Extremism,"এটা কি হলো, তাদের কালি কে # দারুন শাড়ী পড়ে একটি দলা সুন্দরী এভাবে টোল করছেআর চেচামেচি করছেআর কালী দীদী হা করে তাকিয়ে আছেতার মানে ইনি কালি দিদির বড় কালী দিদি আকাশ ভরা তারা হোগামারা সারা"
Extremism,"মেন্টাল পেসেন্ট, মুসলিম দের কাছে শিখুন কিভাবে নিজের ধর্মকে শ্রদ্ধা জানাতে হয়."
Extremism,"জয় মা কালি,এটা একটা রোগ।"
Extremism,"ও মা গো কালী মায়ের প্রতি "" টুরু লাভ""।"
Extremism,গোমূত্র খাওয়া বেশি হয়ে গেছে তাই এরকম ভাব হচ্ছে ।এখন একটু মানুষের মূত্র খাওয়া দিলেই ঠিক হয়ে যাবে।
Extremism,কালি সয়তান এর মূর্তি থেকে সয়তান বের হয়ে এই অসহায় অমুসলিম মহিলাকে ভর করছে‌‌‌‌!!!
Extremism,হাইরে মানুষ নিজে তৈরি করে অাবার নিজে পূজা করে
Extremism,কালির নতুন ভার্শন
Extremism,বয় পাবেন না পাগল চাগেলর ইবাদত করতেচে
Extremism,আসলে হিন্দু সম্প্রদায়ের অনুগামীরা পাগলের মেলা। তারা পাগল তাই হিন্দু ধর্ম পালন করে।
Extremism,মুত্তি পুজা তো হারাম। এটা কি কোন ধর্মের কাতারে পরে নাকি। গরুর মুত খায। যতো সব পাগল ছাগলের কাজ।
Extremism,ধর্ম নিয়ে কতো ভন্ডামি করবে হিন্দুরা
Extremism,কালি সয়তান আসর করছে দর্ষকলীগ খবর দেন।
Extremism,গরুর মুতের সাইড ইফেক্ট
Extremism,পুরোটাই অভিনয় পীরের মাজারের মত
Extremism,পোজা করে ফালথু টাকা করচ। করে কোনো লাপনাই
Extremism,গাঁজা সেবন করুন কালির দর্শন পাবেন । এতক্ষমতা পারলে ভারত বর্ষকে করনা মুক্ত করে দেখান।
Extremism,মূর্খ জাত!! ইসলাম ছাড়া কোন ধর্ম পৃথীবিতে নাই!! বাকিগুলা মানুষের তৈরি ধর্ম!!
Extremism,Direct শয়তানের পূজা করা হয়।মুর্তি গুলোর ভিতরে শয়তান থাকে। হিন্দুদের পূজায় এমন প্রায়ই ঘটতে দেখা যায়।
Extremism,সম্পূর্ণ পাগলের প্রলাপ এই ভাবেই হিন্দু ধর্মে ধ্বংসের দিকে এখনই
Extremism,পৃথিবীতে সব চেয়ে খারাপ ধর্ম থাকলে সেটা হলো হিন্দু ধর্ম এটা তার প্রমান।
Extremism,ওর ঘারে কালির আত্মা ভর করেছে
Extremism,তুর গাছ বাশ তুই পুজা করে তুর পুটকিতে ডুকাই রাখ
Extremism,হিন্দুরা হলো সংখ্যালঘু জাতি। আপনাদের নিজেদের হিন্দুধর্মের কারিগর আপনারা নিজেই। এসব আপনারা নিজেরাই বানিয়েছেন।
Extremism,"ভারতের বাহিরে ১টি মন্দির আমাকে দেখিয়ে দিন। তা পারবেন না। কারন মন্দির সব ভারতে, ভারতের বাহিরে আপনাদের চিহ্ন নেই"
Extremism,কুত্তার দাম আছে আপনাদের হিন্দুধর্মের কোনো দাম নাই
Extremism,আরে ভাই কিট পতংগের সাইজো বড়ো আছে হিন্দুধর্মের তুলনায়
Extremism,আপনি মুসলিম নামের কলংক
Extremism,পৃথিবীতে সর্বোপ্রথম হিন্দু তথা সনাতন ধর্ম এসেছে।
Extremism,"ইহুদী ,মুসলিম, খ্রিস্টান ধর্মের কবে উৎপত্তি হয়েছে তোমরা বের করতে পারলে চা একটু বের করে দেখাও হিন্দু ধর্মের কবে উৎপত্তি হয়েছে, হিন্দু সনাতন ধর্মের হাদি উৎপত্তি অন্ত কেউ বলতে পারবেনা বেটা"
Extremism,হিন্দু রুপকথার ধর্ম। ওইটাকে হিন্দুরা ছাড়া অন্য কেউ গনায় ধরে না
Extremism,তুই সবচে বর ইয়াহুদি
Extremism,"শালা একটা ভণ্ড, ইসলামের নতুন ফেতনা"
Extremism,ইশা আঃ কে ইহুদিরা হত্যার চেষ্টা করে অথচ আজ খৃষ্টানরাই এই ইহুদিদের রক্ষা করে যাচ্ছে। হায়রে খৃষ্টান
Extremism,"দুনিয়ার ৭৬% মানুষের কাছে কুরানের কোন দাম নাই। সেখানে যদি আপনি কুরান নিয়ে আসেন, তাহলে আসল মুর্খটা কে? আপনি না পৃথিবীবাসী?"
Extremism,ইসলাম কি কোন জাতি?
Extremism,আল্লা পাক সেক্স ভিডিও নিয়া ব্যস্ত আছে।
Extremism,ইহুদীদের বালের সমান যোগ্যতা তোদের ইসলাম ধর্মের মানুষদের আছে???
Extremism,ইসলাম ধর্মের মানুষদের যে যোগ্যতা আছে তার ছিটেফোঁটাও ইহুদী ধর্মের মানুষ মাঝে নেই ।আর কোন দেশ বা জাতি বলতে পারবে যে ইসলাম ধর্মের মানুষ অন্য ধর্মের মানুষদের উপর অন্যায় অত্যাচার করেছে
Extremism,তোরা ইহুদীরা মানুষকে সন্ত্রাস করার শিক্ষা দেয়
Extremism,আপনি কী দোর্গা দোচা জাতি ? নাকী শিয়া ?
Extremism,"মুখে লাগাম দিয়ে কথা বলবেন। আপনি যে কথা বলছেন এই কাজ করার সাধ্য কারো নেই, এর আগে কেউ করেনি। আর কেয়ামত পর্যন্ত কেউ করতে পারবে না। ইসলাম ধর্ম সম্পর্কে বেহুদা কথা বলার আগে সৃষ্টিকর্তাকে ভয় করুন"
Extremism,হাস্যকর কথা  এই থেকেই বোঝা গেল আপনি কতটা মূর্খ হাদিস এ বলা আছে দজ্জাল ও মহামারি আসতে পারবে না মদিনায়!!!!  আর আপনি বললেন হাদিসে নাকি বলা আছে যে দজ্জাল ও প্লেগ মদিনায় ঢুকতে পারবে না এই কথাটা কোথায় বলা আছে!!!! আর প্লেগ সম্পর্কে বলা হয়েছে যে এটি একটি এমন রোগ যার কোন প্রতিকার নেই কিন্তু ইহুদি ও নাসারা এই রোগের প্রতিকার বের করে ফেলেছে তার মানে বোঝা গেল ধর্ষক মহম্মদ সেই গুলো কিছুই বুঝতে পারে নি
Extremism,আপনি তো বিশ্বাস করেন যীশুকে ইহুদিরা ক্রশবিদ্ধ করে হত্যা করেছিল ।খুব জানেন তাহলে মরার মতো হিন্দু ফালতু ধর্ম ত্যাগ করে খ্রিস্টধর্ম গ্রহণ করূন ।
Extremism,আল্লাহ নারীদের সৃষ্টি করেছে পুরুষের ভোগ্যপণ্য হিসেবে এবং যৌনসঙ্গম জন্য
Extremism,"আমি হিন্দু ধর্ম বিশ্বাস করি, হিন্দু ধর্ম ও মুসলিম ধর্ম যৌনসঙ্গমে ভরা"
Extremism,ইসলাম ধর্মে নারীর কোনো মর্যাদা ও সম্মান নেই। ইসলাম ধর্মে নারীর মর্যাদা শুধু তার গোপনাঙ্গের
Extremism,আমি ঈশ্বর বিশ্বাস করি। বর্তমানে খৃষ্টান ধর্ম নিয়ে পড়াশোনা করছি। যদি ভালো লাগে তাহলে খ্রিস্টান ধর্ম গ্রহণ করব। কিন্তু হিন্দু বা মুসলিম ধর্ম বিশ্বাস করি না।
Extremism,ইসলাম ধর্মে নারীদের সম্মান নাই। তাই তিনি নারীদের তেঁতুলের সাথে তুলনা করেছেন। শুধু আমি একাই ইসলাম ধর্ম ত্যাগ করি নাই। তেঁতুল হুজুরের ঐ কথা শুনে হাজার হাজার নারী ইসলাম ধর্ম ত্যাগ করেছে। ইসলাম ধর্মের সমস্ত নারীদের ইসলাম ধর্ম ত্যাগ করা উচিত
Extremism,"ইসলাম ধর্মে নারীদের নিকৃষ্ট জীব হিসেবে মনে করা হয়। কাজেই এই ধর্ম আমার জন্য নয়। হতে পারে, এই ধর্ম আপনার মা বোনের জন্য।"
Extremism,ইসলাম হল একমাত্র ধর্ম বাকি সব ধর্ম কাফের দের তৈরি।
Extremism,একমাত্র হিংসার ধর্ম হল ইসলামধর্ম।
Extremism,তুইও হযরত মুহাম্মদ এর মত মাগীবাজ ‌।
Extremism,হজরত মুহাম্মদ তোর মা ও আমার সাথে মাগীবাজি করেছে । হজরত মুহাম্মদ একজন মাগীবাজ ছিল
Extremism,ঈসা নবী অলৌকিক ভাবে জন্মিয়েছেন । ঈসা নবীর কোন বৈধ পিতা নাই । তিনি আল্লাহর প্রেরিত নবী বা সন্তান । তিনি আল্লাহর বিশেষ সন্তান
Extremism,"জাকির নায়েক একজন ভন্ড প্রতারক । তিনি ইসলাম ও খ্রিস্টান, ইহুদি ধর্ম বিকৃতি করিয়াছেন"
Extremism,"তুই আগে প্রমাণ কর,,খ্রীষ্টান সত্য ধর্ম! শালী বস্তি!!! ঈসা নবী ইসলাম প্রচার করতে আসছে,,,আর জানোয়ার খ্রীষ্টানের দল তার ধর্ম আর কিতাব দুইটারেই পরিবর্তঅন করে ফেলসে"
Extremism,"জানোয়ার বাইবেলের প্রথম পেইজ শুরু হইসে আবাল চোদা কাহিনী দিয়া,, পুরা বাইবেল জুড়ে আবালচোদা কাহিনি"
Extremism,তোরে আর তোর খ্রীষ্টান ধর্মরে জুতাপেটা করবো আমি
Extremism,"হিন্দু  জাতটা এরকম  হয়	"
Extremism,আমরা হিন্দু যুবকরা মুসলমানদের মত নয় আর আমরা হিন্দু মেয়ে ছাড়া আপনাদের দিকে তাকাই না। আমরা যদি অমন হতাম না তাহলে আপনাদের মত মুসলিম মেয়েরা রেপ হয়ে গাছের ডালে ঝুলে থাকত।
Extremism,শালা  আসিফার  মতো  আরো  মুসলিম  মেয়েদের  রেইপ  করা  উচিত
Extremism,"সালাম দিলে নাকি জংগি, আল্লাহ হাফেজ বললে নাকি জংগি হায়রে এরা মানুষের সাথে না আল্লাহর সাথে শত্রুতা করছে"
Extremism,"মোল্লার  বাচ্চা  এনকাউন্টার  করা উচিত 	"
Extremism,জাহান্নামে  যাবি তোরা ঐখানে পুড়ে মরবি শালারপুতেরা
Extremism,"আমাদের হিন্দুদের কলঙ্ক সৃজিত..শালা আর মেয়ে পেলো না , গাই বাছুর সহ বিয়ে তাও আবার মুসলিম মেয়ে	"
Extremism,"তোদের ভগবান কত জন? তোদের সৃষ্টিকর্তা কে? কৃশ্ন, মহাদেব,মা দূর্গা, কার্তিক,গণেশ, নাকি হনুমান?"
Extremism,"আর  এটাও  ন্যাচারাল  মুসলিমরা  অনেক  বেশি  নৃশংস  হয় .....শালার  জাত  পশুর  জাত	"
Extremism,"মোল্লাদের মা  গুলো  আগে  চোদা  দরকার ....	"
Extremism,"এসব আপনাদের ধর্মে হয় আমাদের ধর্মে হয়না।	"
Extremism,মুসলিম  জাতিটাকে হাটাতে হবে এরা দেশের কুত্তা থেকেও অধম
Extremism,ওদের  মধ্যে   হিন্দুও  ছিল ...তাই  ধর্মের  নাম  না  দিয়ে  জানোয়ার  বলা  দরকার ...
Extremism,"মোল্লাদের ঘরের মেয়েদের এরকম ধরে যতদিন ধর্ষন না করা হবে, তত দিন এরা শায়েস্তা হবেনা।	"
Extremism,"আমার মতে তোর কোন ধর্মই নেই	"
